obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
FCFS,SSHAPE,10,3,900,9979943,21s-20-30-0.txt,30,20,15,5006.0
RANDOM,SSHAPE,10,3,900,3627214,21s-20-30-0.txt,30,20,13,4482.0
SOP,SSHAPE,10,3,900,1755343,21s-20-30-0.txt,30,20,20,5690.0
G01,SSHAPE,10,3,900,2556484,21s-20-30-0.txt,30,20,12,4250.0
G02,SSHAPE,10,3,900,2106518,21s-20-30-0.txt,30,20,14,4790.0
G03,SSHAPE,10,3,900,4636404,21s-20-30-0.txt,30,20,13,4522.0
FCFS,SSHAPE,10,3,900,1973626,21s-20-30-1.txt,30,20,15,4890.0
RANDOM,SSHAPE,10,3,900,1324655,21s-20-30-1.txt,30,20,11,4020.0
SOP,SSHAPE,10,3,900,1142811,21s-20-30-1.txt,30,20,20,5668.0
G01,SSHAPE,10,3,900,1069837,21s-20-30-1.txt,30,20,10,3752.0
G02,SSHAPE,10,3,900,692044,21s-20-30-1.txt,30,20,13,4580.0
G03,SSHAPE,10,3,900,2848826,21s-20-30-1.txt,30,20,11,4038.0
FCFS,SSHAPE,10,3,900,780406,21s-20-30-2.txt,30,20,13,4346.0
RANDOM,SSHAPE,10,3,900,917288,21s-20-30-2.txt,30,20,10,3690.0
SOP,SSHAPE,10,3,900,988696,21s-20-30-2.txt,30,20,20,5496.0
G01,SSHAPE,10,3,900,643291,21s-20-30-2.txt,30,20,10,3618.0
G02,SSHAPE,10,3,900,568894,21s-20-30-2.txt,30,20,13,4254.0
G03,SSHAPE,10,3,900,1889436,21s-20-30-2.txt,30,20,11,3864.0
FCFS,SSHAPE,10,3,900,845807,21s-20-30-3.txt,30,20,14,4524.0
RANDOM,SSHAPE,10,3,900,901610,21s-20-30-3.txt,30,20,13,4532.0
SOP,SSHAPE,10,3,900,688433,21s-20-30-3.txt,30,20,20,5930.0
G01,SSHAPE,10,3,900,543810,21s-20-30-3.txt,30,20,12,4478.0
G02,SSHAPE,10,3,900,611195,21s-20-30-3.txt,30,20,14,4860.0
G03,SSHAPE,10,3,900,1365434,21s-20-30-3.txt,30,20,13,4614.0
FCFS,SSHAPE,10,3,900,522833,21s-20-30-4.txt,30,20,11,3720.0
RANDOM,SSHAPE,10,3,900,742785,21s-20-30-4.txt,30,20,11,3832.0
SOP,SSHAPE,10,3,900,519138,21s-20-30-4.txt,30,20,20,5230.0
G01,SSHAPE,10,3,900,459389,21s-20-30-4.txt,30,20,9,3300.0
G02,SSHAPE,10,3,900,738778,21s-20-30-4.txt,30,20,12,4050.0
G03,SSHAPE,10,3,900,1971357,21s-20-30-4.txt,30,20,10,3476.0
FCFS,SSHAPE,10,3,900,481669,21s-20-30-5.txt,30,20,13,4372.0
RANDOM,SSHAPE,10,3,900,412254,21s-20-30-5.txt,30,20,11,4076.0
SOP,SSHAPE,10,3,900,526612,21s-20-30-5.txt,30,20,20,5430.0
G01,SSHAPE,10,3,900,478843,21s-20-30-5.txt,30,20,11,3824.0
G02,SSHAPE,10,3,900,501707,21s-20-30-5.txt,30,20,13,4354.0
G03,SSHAPE,10,3,900,1535152,21s-20-30-5.txt,30,20,11,3948.0
FCFS,SSHAPE,10,3,900,504341,21s-20-30-6.txt,30,20,14,4752.0
RANDOM,SSHAPE,10,3,900,454611,21s-20-30-6.txt,30,20,13,4604.0
SOP,SSHAPE,10,3,900,579233,21s-20-30-6.txt,30,20,20,6040.0
G01,SSHAPE,10,3,900,551920,21s-20-30-6.txt,30,20,13,4492.0
G02,SSHAPE,10,3,900,609950,21s-20-30-6.txt,30,20,15,5038.0
G03,SSHAPE,10,3,900,1138932,21s-20-30-6.txt,30,20,14,4916.0
FCFS,SSHAPE,10,3,900,416281,21s-20-30-7.txt,30,20,14,4606.0
RANDOM,SSHAPE,10,3,900,393570,21s-20-30-7.txt,30,20,11,4224.0
SOP,SSHAPE,10,3,900,476219,21s-20-30-7.txt,30,20,20,5622.0
G01,SSHAPE,10,3,900,752361,21s-20-30-7.txt,30,20,10,3838.0
G02,SSHAPE,10,3,900,488636,21s-20-30-7.txt,30,20,13,4602.0
G03,SSHAPE,10,3,900,1283972,21s-20-30-7.txt,30,20,11,4080.0
FCFS,SSHAPE,10,3,900,426436,21s-20-30-8.txt,30,20,12,3764.0
RANDOM,SSHAPE,10,3,900,365690,21s-20-30-8.txt,30,20,10,3412.0
SOP,SSHAPE,10,3,900,453492,21s-20-30-8.txt,30,20,20,4906.0
G01,SSHAPE,10,3,900,440343,21s-20-30-8.txt,30,20,10,3470.0
G02,SSHAPE,10,3,900,429470,21s-20-30-8.txt,30,20,12,3808.0
G03,SSHAPE,10,3,900,1256078,21s-20-30-8.txt,30,20,10,3404.0
FCFS,SSHAPE,10,3,900,368906,21s-20-30-9.txt,30,20,10,3396.0
RANDOM,SSHAPE,10,3,900,325377,21s-20-30-9.txt,30,20,9,3118.0
SOP,SSHAPE,10,3,900,415871,21s-20-30-9.txt,30,20,20,5038.0
G01,SSHAPE,10,3,900,373897,21s-20-30-9.txt,30,20,9,3140.0
G02,SSHAPE,10,3,900,410913,21s-20-30-9.txt,30,20,11,3590.0
G03,SSHAPE,10,3,900,1426072,21s-20-30-9.txt,30,20,10,3380.0
FCFS,SSHAPE,10,3,900,402323,21s-20-30-10.txt,30,20,13,4022.0
RANDOM,SSHAPE,10,3,900,344878,21s-20-30-10.txt,30,20,11,3740.0
SOP,SSHAPE,10,3,900,437944,21s-20-30-10.txt,30,20,20,5366.0
G01,SSHAPE,10,3,900,393131,21s-20-30-10.txt,30,20,10,3436.0
G02,SSHAPE,10,3,900,437322,21s-20-30-10.txt,30,20,13,4104.0
G03,SSHAPE,10,3,900,1408056,21s-20-30-10.txt,30,20,10,3372.0
FCFS,SSHAPE,10,3,900,394107,21s-20-30-11.txt,30,20,15,4898.0
RANDOM,SSHAPE,10,3,900,371029,21s-20-30-11.txt,30,20,13,4348.0
SOP,SSHAPE,10,3,900,402484,21s-20-30-11.txt,30,20,20,5614.0
G01,SSHAPE,10,3,900,460761,21s-20-30-11.txt,30,20,13,4414.0
G02,SSHAPE,10,3,900,453339,21s-20-30-11.txt,30,20,15,4932.0
G03,SSHAPE,10,3,900,1401583,21s-20-30-11.txt,30,20,13,4272.0
FCFS,SSHAPE,10,3,900,675553,21s-20-30-12.txt,30,20,15,5240.0
RANDOM,SSHAPE,10,3,900,661269,21s-20-30-12.txt,30,20,14,4986.0
SOP,SSHAPE,10,3,900,570341,21s-20-30-12.txt,30,20,20,6032.0
