obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
G01,SSHAPE,LS_1x0,10,3,900,16471879,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G01,SSHAPE,LS_1x1,10,3,900,1842816,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G01,SSHAPE,LS_1x2,10,3,900,10260452,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G01,SSHAPE,LS_2x2,10,3,900,15769175,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G02,SSHAPE,LS_1x0,10,3,900,7642690,21s-20-30-0.txt,30,20,14,4790.0,14,4790.0
G02,SSHAPE,LS_1x1,10,3,900,1697292,21s-20-30-0.txt,30,20,14,4790.0,14,4724.0
G02,SSHAPE,LS_1x2,10,3,900,7313274,21s-20-30-0.txt,30,20,14,4790.0,14,4724.0
G02,SSHAPE,LS_2x2,10,3,900,2471042,21s-20-30-0.txt,30,20,14,4790.0,14,4790.0
G03,SSHAPE,LS_1x0,10,3,900,7852641,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G03,SSHAPE,LS_1x1,10,3,900,2530879,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G03,SSHAPE,LS_1x2,10,3,900,7977874,21s-20-30-0.txt,30,20,13,4522.0,13,4384.0
G03,SSHAPE,LS_2x2,10,3,900,4699776,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G01,SSHAPE,LS_1x0,10,3,900,1151349,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_1x1,10,3,900,784352,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_1x2,10,3,900,930153,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_2x2,10,3,900,15868358,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G02,SSHAPE,LS_1x0,10,3,900,4555372,21s-20-30-1.txt,30,20,13,4580.0,13,4442.0
G02,SSHAPE,LS_1x1,10,3,900,1122391,21s-20-30-1.txt,30,20,13,4580.0,13,4536.0
G02,SSHAPE,LS_1x2,10,3,900,4596289,21s-20-30-1.txt,30,20,13,4580.0,13,4530.0
G02,SSHAPE,LS_2x2,10,3,900,1180017,21s-20-30-1.txt,30,20,13,4580.0,13,4580.0
G03,SSHAPE,LS_1x0,10,3,900,2894355,21s-20-30-1.txt,30,20,11,4038.0,11,3928.0
G03,SSHAPE,LS_1x1,10,3,900,1581629,21s-20-30-1.txt,30,20,11,4038.0,11,3982.0
G03,SSHAPE,LS_1x2,10,3,900,5748529,21s-20-30-1.txt,30,20,11,4038.0,11,3968.0
