obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
G01,LGAP,LS_1x0,10,3,900,11590704,21s-20-30-0.txt,30,20,12,3867,12,3867
G01,LGAP,LS_1x1,10,3,900,1842540,21s-20-30-0.txt,30,20,12,3867,12,3867
G01,LGAP,LS_1x2,10,3,900,11693339,21s-20-30-0.txt,30,20,12,3867,12,3867
G01,LGAP,LS_2x2,10,3,900,17245062,21s-20-30-0.txt,30,20,12,3867,12,3867
G02,LGAP,LS_1x0,10,3,900,6982190,21s-20-30-0.txt,30,20,14,4134,14,4134
G02,LGAP,LS_1x1,10,3,900,2093054,21s-20-30-0.txt,30,20,14,4134,14,4134
G02,LGAP,LS_1x2,10,3,900,6969401,21s-20-30-0.txt,30,20,14,4134,14,4029
G02,LGAP,LS_2x2,10,3,900,1419822,21s-20-30-0.txt,30,20,14,4134,14,4134
G03,LGAP,LS_1x0,10,3,900,5681021,21s-20-30-0.txt,30,20,13,3883,13,3883
G03,LGAP,LS_1x1,10,3,900,2109081,21s-20-30-0.txt,30,20,13,3883,13,3883
G03,LGAP,LS_1x2,10,3,900,9335428,21s-20-30-0.txt,30,20,13,3883,13,3883
G03,LGAP,LS_2x2,10,3,900,5493756,21s-20-30-0.txt,30,20,13,3883,13,3883
G01,LGAP,LS_1x0,10,3,900,1487046,21s-20-30-1.txt,30,20,10,3652,10,3652
G01,LGAP,LS_1x1,10,3,900,1107716,21s-20-30-1.txt,30,20,10,3652,10,3569
G01,LGAP,LS_1x2,10,3,900,3207464,21s-20-30-1.txt,30,20,10,3652,10,3583
G01,LGAP,LS_2x2,10,3,900,22283221,21s-20-30-1.txt,30,20,10,3652,10,3652
G02,LGAP,LS_1x0,10,3,900,6738649,21s-20-30-1.txt,30,20,13,4196,13,4196
G02,LGAP,LS_1x1,10,3,900,1444011,21s-20-30-1.txt,30,20,13,4196,13,4196
G02,LGAP,LS_1x2,10,3,900,5903546,21s-20-30-1.txt,30,20,13,4196,13,4163
G02,LGAP,LS_2x2,10,3,900,1414218,21s-20-30-1.txt,30,20,13,4196,13,4196
G03,LGAP,LS_1x0,10,3,900,2941419,21s-20-30-1.txt,30,20,11,3838,11,3838
G03,LGAP,LS_1x1,10,3,900,1878711,21s-20-30-1.txt,30,20,11,3838,11,3838
G03,LGAP,LS_1x2,10,3,900,5157375,21s-20-30-1.txt,30,20,11,3838,11,3812
G03,LGAP,LS_2x2,10,3,900,4812764,21s-20-30-1.txt,30,20,11,3838,11,3838
G01,LGAP,LS_1x0,10,3,900,1044957,21s-20-30-2.txt,30,20,10,3392,10,3392
G01,LGAP,LS_1x1,10,3,900,619845,21s-20-30-2.txt,30,20,10,3392,10,3392
G01,LGAP,LS_1x2,10,3,900,1016371,21s-20-30-2.txt,30,20,10,3392,10,3392
G01,LGAP,LS_2x2,10,3,900,19727299,21s-20-30-2.txt,30,20,10,3392,10,3392
G02,LGAP,LS_1x0,10,3,900,6281842,21s-20-30-2.txt,30,20,13,4185,13,4111
G02,LGAP,LS_1x1,10,3,900,1710757,21s-20-30-2.txt,30,20,13,4185,13,4089
G02,LGAP,LS_1x2,10,3,900,5760587,21s-20-30-2.txt,30,20,13,4185,13,4011
G02,LGAP,LS_2x2,10,3,900,1127447,21s-20-30-2.txt,30,20,13,4185,13,4083
G03,LGAP,LS_1x0,10,3,900,3440908,21s-20-30-2.txt,30,20,11,3661,11,3661
G03,LGAP,LS_1x1,10,3,900,4614652,21s-20-30-2.txt,30,20,11,3661,11,3599
G03,LGAP,LS_1x2,10,3,900,4463308,21s-20-30-2.txt,30,20,11,3661,11,3661
G03,LGAP,LS_2x2,10,3,900,10636582,21s-20-30-2.txt,30,20,11,3661,11,3661
G01,LGAP,LS_1x0,10,3,900,2514050,21s-20-30-3.txt,30,20,12,4056,12,4056
G01,LGAP,LS_1x1,10,3,900,1301660,21s-20-30-3.txt,30,20,12,4056,12,4056
G01,LGAP,LS_1x2,10,3,900,5018379,21s-20-30-3.txt,30,20,12,4056,12,4056
G01,LGAP,LS_2x2,10,3,900,8625497,21s-20-30-3.txt,30,20,12,4056,12,4056
G02,LGAP,LS_1x0,10,3,900,2869416,21s-20-30-3.txt,30,20,14,4417,14,4417
G02,LGAP,LS_1x1,10,3,900,1109585,21s-20-30-3.txt,30,20,14,4417,14,4417
G02,LGAP,LS_1x2,10,3,900,2980862,21s-20-30-3.txt,30,20,14,4417,14,4417
G02,LGAP,LS_2x2,10,3,900,1111423,21s-20-30-3.txt,30,20,14,4417,14,4417
G03,LGAP,LS_1x0,10,3,900,2149929,21s-20-30-3.txt,30,20,13,4209,13,4209
G03,LGAP,LS_1x1,10,3,900,1075574,21s-20-30-3.txt,30,20,13,4209,13,4159
G03,LGAP,LS_1x2,10,3,900,4889235,21s-20-30-3.txt,30,20,13,4209,13,4105
G03,LGAP,LS_2x2,10,3,900,1701740,21s-20-30-3.txt,30,20,13,4209,13,4209
G01,LGAP,LS_1x0,10,3,900,568888,21s-20-30-4.txt,30,20,9,3161,9,3161
G01,LGAP,LS_1x1,10,3,900,483838,21s-20-30-4.txt,30,20,9,3161,9,3161
G01,LGAP,LS_1x2,10,3,900,866282,21s-20-30-4.txt,30,20,9,3161,9,3161
G01,LGAP,LS_2x2,10,3,900,6410713,21s-20-30-4.txt,30,20,9,3161,9,3161
G02,LGAP,LS_1x0,10,3,900,6258362,21s-20-30-4.txt,30,20,12,3836,12,3836
G02,LGAP,LS_1x1,10,3,900,1558798,21s-20-30-4.txt,30,20,12,3836,12,3756
G02,LGAP,LS_1x2,10,3,900,5593372,21s-20-30-4.txt,30,20,12,3836,12,3592
G02,LGAP,LS_2x2,10,3,900,1942514,21s-20-30-4.txt,30,20,12,3836,12,3774
G03,LGAP,LS_1x0,10,3,900,1898395,21s-20-30-4.txt,30,20,10,3269,10,3269
G03,LGAP,LS_1x1,10,3,900,1007199,21s-20-30-4.txt,30,20,10,3269,10,3239
G03,LGAP,LS_1x2,10,3,900,2161028,21s-20-30-4.txt,30,20,10,3269,10,3249
G03,LGAP,LS_2x2,10,3,900,3630099,21s-20-30-4.txt,30,20,10,3269,10,3269
