obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
RANDOM,LGAP,LS_1x0,10,3,900,17737002,21s-20-30-0.txt,30,20,14,4111.0,14,4111.0
RANDOM,LGAP,LS_1x1,10,3,900,2112024,21s-20-30-0.txt,30,20,13,4000.0,13,3966.0
RANDOM,LGAP,LS_1x2,10,3,900,9942970,21s-20-30-0.txt,30,20,12,3843.0,12,3843.0
RANDOM,LGAP,LS_2x2,10,3,900,3935930,21s-20-30-0.txt,30,20,13,3905.0,13,3905.0
RANDOM,LGAP,LS_1x0,10,3,900,6200484,21s-20-30-1.txt,30,20,12,3880.0,12,3880.0
RANDOM,LGAP,LS_1x1,10,3,900,1817005,21s-20-30-1.txt,30,20,12,4052.0,12,4052.0
RANDOM,LGAP,LS_1x2,10,3,900,6974892,21s-20-30-1.txt,30,20,11,3910.0,11,3894.0
RANDOM,LGAP,LS_2x2,10,3,900,11383156,21s-20-30-1.txt,30,20,11,3721.0,11,3721.0
RANDOM,LGAP,LS_1x0,10,3,900,3955769,21s-20-30-2.txt,30,20,12,3859.0,12,3809.0
RANDOM,LGAP,LS_1x1,10,3,900,1103458,21s-20-30-2.txt,30,20,11,3673.0,11,3673.0
RANDOM,LGAP,LS_1x2,10,3,900,6326607,21s-20-30-2.txt,30,20,11,3649.0,11,3533.0
RANDOM,LGAP,LS_2x2,10,3,900,4783375,21s-20-30-2.txt,30,20,12,3851.0,12,3851.0
RANDOM,LGAP,LS_1x0,10,3,900,3510587,21s-20-30-3.txt,30,20,13,4185.0,13,4185.0
RANDOM,LGAP,LS_1x1,10,3,900,1323834,21s-20-30-3.txt,30,20,12,3982.0,12,3982.0
RANDOM,LGAP,LS_1x2,10,3,900,10507250,21s-20-30-3.txt,30,20,13,4132.0,13,4132.0
RANDOM,LGAP,LS_2x2,10,3,900,2867655,21s-20-30-3.txt,30,20,13,4251.0,13,4251.0
RANDOM,LGAP,LS_1x0,10,3,900,661839,21s-20-30-4.txt,30,20,9,3039.0,9,3039.0
