obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
RANDOM,SSHAPE,LS_1x0,10,3,900,20265209,21s-20-30-0.txt,30,20,12,4298.0,12,4298.0
RANDOM,SSHAPE,LS_1x1,10,3,900,5178632,21s-20-30-0.txt,30,20,13,4398.0,13,4398.0
RANDOM,SSHAPE,LS_1x2,10,3,900,7796498,21s-20-30-0.txt,30,20,13,4614.0,13,4614.0
RANDOM,SSHAPE,LS_2x2,10,3,900,7804141,21s-20-30-0.txt,30,20,13,4470.0,13,4470.0
RANDOM,SSHAPE,LS_1x0,10,3,900,4561488,21s-20-30-1.txt,30,20,11,4148.0,11,4130.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1445459,21s-20-30-1.txt,30,20,11,4132.0,11,3986.0
RANDOM,SSHAPE,LS_1x2,10,3,900,9090754,21s-20-30-1.txt,30,20,12,4360.0,12,4360.0
RANDOM,SSHAPE,LS_2x2,10,3,900,5138312,21s-20-30-1.txt,30,20,12,4190.0,12,4176.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2744304,21s-20-30-2.txt,30,20,11,3900.0,11,3900.0
RANDOM,SSHAPE,LS_1x1,10,3,900,770075,21s-20-30-2.txt,30,20,11,3904.0,11,3904.0
RANDOM,SSHAPE,LS_1x2,10,3,900,26820443,21s-20-30-2.txt,30,20,12,4114.0,12,4114.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4190802,21s-20-30-2.txt,30,20,11,3948.0,11,3948.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1581697,21s-20-30-3.txt,30,20,12,4458.0,12,4330.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1300945,21s-20-30-3.txt,30,20,13,4524.0,13,4524.0
RANDOM,SSHAPE,LS_1x2,10,3,900,5952045,21s-20-30-3.txt,30,20,13,4532.0,13,4436.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2659949,21s-20-30-3.txt,30,20,14,4756.0,14,4756.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2965658,21s-20-30-4.txt,30,20,10,3528.0,10,3528.0
RANDOM,SSHAPE,LS_1x1,10,3,900,931716,21s-20-30-4.txt,30,20,10,3604.0,10,3604.0
RANDOM,SSHAPE,LS_1x2,10,3,900,5151475,21s-20-30-4.txt,30,20,10,3562.0,10,3542.0
RANDOM,SSHAPE,LS_2x2,10,3,900,6202446,21s-20-30-4.txt,30,20,10,3454.0,10,3454.0
RANDOM,SSHAPE,LS_1x0,10,3,900,3604206,21s-20-30-5.txt,30,20,12,4366.0,12,4284.0
RANDOM,SSHAPE,LS_1x1,10,3,900,836750,21s-20-30-5.txt,30,20,11,3904.0,11,3866.0
RANDOM,SSHAPE,LS_1x2,10,3,900,5133206,21s-20-30-5.txt,30,20,11,3836.0,11,3836.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2639375,21s-20-30-5.txt,30,20,12,4302.0,12,4302.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1416468,21s-20-30-6.txt,30,20,14,4892.0,14,4838.0
RANDOM,SSHAPE,LS_1x1,10,3,900,671761,21s-20-30-6.txt,30,20,13,4640.0,13,4574.0
RANDOM,SSHAPE,LS_1x2,10,3,900,5550750,21s-20-30-6.txt,30,20,14,4828.0,14,4828.0
RANDOM,SSHAPE,LS_2x2,10,3,900,1919186,21s-20-30-6.txt,30,20,14,4836.0,14,4836.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1934967,21s-20-30-7.txt,30,20,11,4140.0,11,4140.0
