obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
RANDOM,LGAP,LS_1x0,10,3,900,17737002,21s-20-30-0.txt,30,20,14,4111,14,4111
RANDOM,LGAP,LS_1x1,10,3,900,2112024,21s-20-30-0.txt,30,20,13,4000,13,3966
RANDOM,LGAP,LS_1x2,10,3,900,9942970,21s-20-30-0.txt,30,20,12,3843,12,3843
RANDOM,LGAP,LS_2x2,10,3,900,3935930,21s-20-30-0.txt,30,20,13,3905,13,3905
RANDOM,LGAP,LS_1x0,10,3,900,6200484,21s-20-30-1.txt,30,20,12,3880,12,3880
RANDOM,LGAP,LS_1x1,10,3,900,1817005,21s-20-30-1.txt,30,20,12,4052,12,4052
RANDOM,LGAP,LS_1x2,10,3,900,6974892,21s-20-30-1.txt,30,20,11,3910,11,3894
RANDOM,LGAP,LS_2x2,10,3,900,11383156,21s-20-30-1.txt,30,20,11,3721,11,3721
RANDOM,LGAP,LS_1x0,10,3,900,3955769,21s-20-30-2.txt,30,20,12,3859,12,3809
RANDOM,LGAP,LS_1x1,10,3,900,1103458,21s-20-30-2.txt,30,20,11,3673,11,3673
RANDOM,LGAP,LS_1x2,10,3,900,6326607,21s-20-30-2.txt,30,20,11,3649,11,3533
RANDOM,LGAP,LS_2x2,10,3,900,4783375,21s-20-30-2.txt,30,20,12,3851,12,3851
RANDOM,LGAP,LS_1x0,10,3,900,3510587,21s-20-30-3.txt,30,20,13,4185,13,4185
RANDOM,LGAP,LS_1x1,10,3,900,1323834,21s-20-30-3.txt,30,20,12,3982,12,3982
RANDOM,LGAP,LS_1x2,10,3,900,10507250,21s-20-30-3.txt,30,20,13,4132,13,4132
RANDOM,LGAP,LS_2x2,10,3,900,2867655,21s-20-30-3.txt,30,20,13,4251,13,4251
RANDOM,LGAP,LS_1x0,10,3,900,661839,21s-20-30-4.txt,30,20,9,3039,9,3039
RANDOM,LGAP,LS_1x1,10,3,900,599846,21s-20-30-4.txt,30,20,10,3345,10,3345
RANDOM,LGAP,LS_1x2,10,3,900,1838484,21s-20-30-4.txt,30,20,10,3410,10,3384
RANDOM,LGAP,LS_2x2,10,3,900,1871288,21s-20-30-4.txt,30,20,10,3422,10,3422
RANDOM,LGAP,LS_1x0,10,3,900,1788747,21s-20-30-5.txt,30,20,11,3766,11,3766
RANDOM,LGAP,LS_1x1,10,3,900,368969,21s-20-30-5.txt,30,20,12,3990,12,3990
RANDOM,LGAP,LS_1x2,10,3,900,2363781,21s-20-30-5.txt,30,20,11,3754,11,3754
RANDOM,LGAP,LS_2x2,10,3,900,7433993,21s-20-30-5.txt,30,20,11,3711,11,3711
RANDOM,LGAP,LS_1x0,10,3,900,2141907,21s-20-30-6.txt,30,20,13,4220,13,4220
RANDOM,LGAP,LS_1x1,10,3,900,1154988,21s-20-30-6.txt,30,20,13,4286,13,4286
RANDOM,LGAP,LS_1x2,10,3,900,6280985,21s-20-30-6.txt,30,20,14,4382,14,4382
RANDOM,LGAP,LS_2x2,10,3,900,4504237,21s-20-30-6.txt,30,20,14,4428,14,4428
RANDOM,LGAP,LS_1x0,10,3,900,4042924,21s-20-30-7.txt,30,20,12,4291,12,4291
RANDOM,LGAP,LS_1x1,10,3,900,657739,21s-20-30-7.txt,30,20,11,4119,11,4119
RANDOM,LGAP,LS_1x2,10,3,900,3658937,21s-20-30-7.txt,30,20,11,4046,11,4046
RANDOM,LGAP,LS_2x2,10,3,900,4204195,21s-20-30-7.txt,30,20,11,4111,11,4049
RANDOM,LGAP,LS_1x0,10,3,900,3198030,21s-20-30-8.txt,30,20,11,3270,11,3256
RANDOM,LGAP,LS_1x1,10,3,900,938007,21s-20-30-8.txt,30,20,10,3198,10,3198
RANDOM,LGAP,LS_1x2,10,3,900,3001872,21s-20-30-8.txt,30,20,10,3154,10,3154
RANDOM,LGAP,LS_2x2,10,3,900,5388083,21s-20-30-8.txt,30,20,10,3106,10,3106
RANDOM,LGAP,LS_1x0,10,3,900,1185515,21s-20-30-9.txt,30,20,9,2976,9,2976
RANDOM,LGAP,LS_1x1,10,3,900,552233,21s-20-30-9.txt,30,20,9,2933,9,2933
RANDOM,LGAP,LS_1x2,10,3,900,686623,21s-20-30-9.txt,30,20,9,2949,9,2949
RANDOM,LGAP,LS_2x2,10,3,900,3037472,21s-20-30-9.txt,30,20,9,3016,9,2976
RANDOM,LGAP,LS_1x0,10,3,900,1106286,21s-20-30-10.txt,30,20,10,3329,10,3207
RANDOM,LGAP,LS_1x1,10,3,900,642642,21s-20-30-10.txt,30,20,10,3342,10,3316
RANDOM,LGAP,LS_1x2,10,3,900,2610955,21s-20-30-10.txt,30,20,10,3169,10,3127
RANDOM,LGAP,LS_2x2,10,3,900,3456416,21s-20-30-10.txt,30,20,11,3498,11,3498
RANDOM,LGAP,LS_1x0,10,3,900,1458982,21s-20-30-11.txt,30,20,13,4156,13,4156
RANDOM,LGAP,LS_1x1,10,3,900,465575,21s-20-30-11.txt,30,20,13,4119,13,4119
RANDOM,LGAP,LS_1x2,10,3,900,2902699,21s-20-30-11.txt,30,20,13,4072,13,4072
RANDOM,LGAP,LS_2x2,10,3,900,1706314,21s-20-30-11.txt,30,20,14,4308,14,4308
RANDOM,LGAP,LS_1x0,10,3,900,1925629,21s-20-30-12.txt,30,20,15,4827,15,4827
RANDOM,LGAP,LS_1x1,10,3,900,843712,21s-20-30-12.txt,30,20,14,4627,14,4627
RANDOM,LGAP,LS_1x2,10,3,900,3692899,21s-20-30-12.txt,30,20,15,4801,15,4801
RANDOM,LGAP,LS_2x2,10,3,900,2528340,21s-20-30-12.txt,30,20,14,4689,14,4689
RANDOM,LGAP,LS_1x0,10,3,900,1097124,21s-20-30-13.txt,30,20,12,4146,12,4146
RANDOM,LGAP,LS_1x1,10,3,900,403735,21s-20-30-13.txt,30,20,14,4504,14,4504
RANDOM,LGAP,LS_1x2,10,3,900,3081488,21s-20-30-13.txt,30,20,13,4426,13,4426
RANDOM,LGAP,LS_2x2,10,3,900,1517475,21s-20-30-13.txt,30,20,14,4538,14,4538
RANDOM,LGAP,LS_1x0,10,3,900,1326681,21s-20-30-14.txt,30,20,11,3932,11,3932
RANDOM,LGAP,LS_1x1,10,3,900,652227,21s-20-30-14.txt,30,20,11,3899,11,3778
RANDOM,LGAP,LS_1x2,10,3,900,2690182,21s-20-30-14.txt,30,20,11,3879,11,3811
RANDOM,LGAP,LS_2x2,10,3,900,2389196,21s-20-30-14.txt,30,20,11,3900,11,3900
RANDOM,LGAP,LS_1x0,10,3,900,1186942,21s-20-30-15.txt,30,20,9,3055,9,3055
RANDOM,LGAP,LS_1x1,10,3,900,567124,21s-20-30-15.txt,30,20,9,3045,9,3045
RANDOM,LGAP,LS_1x2,10,3,900,2519551,21s-20-30-15.txt,30,20,9,3111,9,3111
RANDOM,LGAP,LS_2x2,10,3,900,2736064,21s-20-30-15.txt,30,20,9,3116,9,2968
RANDOM,LGAP,LS_1x0,10,3,900,2789463,21s-20-30-16.txt,30,20,13,4231,13,4231
RANDOM,LGAP,LS_1x1,10,3,900,849013,21s-20-30-16.txt,30,20,12,4032,12,4032
RANDOM,LGAP,LS_1x2,10,3,900,5180082,21s-20-30-16.txt,30,20,13,4208,13,4208
RANDOM,LGAP,LS_2x2,10,3,900,5132471,21s-20-30-16.txt,30,20,13,4201,13,4201
RANDOM,LGAP,LS_1x0,10,3,900,2714137,21s-20-30-17.txt,30,20,14,4182,14,4182
RANDOM,LGAP,LS_1x1,10,3,900,970259,21s-20-30-17.txt,30,20,13,4102,13,4032
RANDOM,LGAP,LS_1x2,10,3,900,3644955,21s-20-30-17.txt,30,20,13,4068,13,4068
RANDOM,LGAP,LS_2x2,10,3,900,2605726,21s-20-30-17.txt,30,20,14,4390,14,4390
RANDOM,LGAP,LS_1x0,10,3,900,971180,21s-20-30-18.txt,30,20,11,3831,11,3831
RANDOM,LGAP,LS_1x1,10,3,900,1292781,21s-20-30-18.txt,30,20,12,3783,12,3783
RANDOM,LGAP,LS_1x2,10,3,900,2264442,21s-20-30-18.txt,30,20,11,3787,11,3787
RANDOM,LGAP,LS_2x2,10,3,900,9097597,21s-20-30-18.txt,30,20,12,3976,12,3976
RANDOM,LGAP,LS_1x0,10,3,900,1851846,21s-20-30-19.txt,30,20,10,3450,10,3450
RANDOM,LGAP,LS_1x1,10,3,900,755192,21s-20-30-19.txt,30,20,10,3515,10,3515
RANDOM,LGAP,LS_1x2,10,3,900,1698937,21s-20-30-19.txt,30,20,10,3584,10,3584
RANDOM,LGAP,LS_2x2,10,3,900,8907924,21s-20-30-19.txt,30,20,10,3588,10,3588
RANDOM,LGAP,LS_1x0,10,3,900,3247231,21s-20-30-20.txt,30,20,15,4756,15,4756
RANDOM,LGAP,LS_1x1,10,3,900,1620444,21s-20-30-20.txt,30,20,16,4924,16,4924
RANDOM,LGAP,LS_1x2,10,3,900,7435149,21s-20-30-20.txt,30,20,15,4784,15,4784
RANDOM,LGAP,LS_2x2,10,3,900,1171177,21s-20-30-20.txt,30,20,16,4960,16,4960
RANDOM,LGAP,LS_1x0,10,3,900,1853096,21s-20-30-21.txt,30,20,10,3465,10,3465
RANDOM,LGAP,LS_1x1,10,3,900,802904,21s-20-30-21.txt,30,20,10,3473,10,3447
RANDOM,LGAP,LS_1x2,10,3,900,1667806,21s-20-30-21.txt,30,20,10,3404,10,3404
RANDOM,LGAP,LS_2x2,10,3,900,10610327,21s-20-30-21.txt,30,20,9,3295,9,3295
RANDOM,LGAP,LS_1x0,10,3,900,935940,21s-20-30-22.txt,30,20,9,3024,9,3024
RANDOM,LGAP,LS_1x1,10,3,900,471909,21s-20-30-22.txt,30,20,9,3023,9,2949
RANDOM,LGAP,LS_1x2,10,3,900,1429968,21s-20-30-22.txt,30,20,9,2982,9,2982
RANDOM,LGAP,LS_2x2,10,3,900,1589655,21s-20-30-22.txt,30,20,9,2974,9,2964
RANDOM,LGAP,LS_1x0,10,3,900,891729,21s-20-30-23.txt,30,20,11,3731,11,3731
RANDOM,LGAP,LS_1x1,10,3,900,668019,21s-20-30-23.txt,30,20,12,3827,12,3827
RANDOM,LGAP,LS_1x2,10,3,900,1039596,21s-20-30-23.txt,30,20,11,3659,11,3653
RANDOM,LGAP,LS_2x2,10,3,900,3510023,21s-20-30-23.txt,30,20,12,3696,12,3696
RANDOM,LGAP,LS_1x0,10,3,900,1369666,21s-20-30-24.txt,30,20,13,4464,13,4464
RANDOM,LGAP,LS_1x1,10,3,900,590915,21s-20-30-24.txt,30,20,13,4344,13,4262
RANDOM,LGAP,LS_1x2,10,3,900,3893735,21s-20-30-24.txt,30,20,13,4316,13,4316
RANDOM,LGAP,LS_2x2,10,3,900,4099480,21s-20-30-24.txt,30,20,13,4414,13,4414
RANDOM,LGAP,LS_1x0,10,3,900,2098244,21s-20-30-25.txt,30,20,11,3559,11,3559
RANDOM,LGAP,LS_1x1,10,3,900,642587,21s-20-30-25.txt,30,20,10,3426,10,3426
RANDOM,LGAP,LS_1x2,10,3,900,2136934,21s-20-30-25.txt,30,20,11,3560,11,3522
RANDOM,LGAP,LS_2x2,10,3,900,6336401,21s-20-30-25.txt,30,20,10,3468,10,3468
RANDOM,LGAP,LS_1x0,10,3,900,1533442,21s-20-30-26.txt,30,20,11,3365,11,3365
RANDOM,LGAP,LS_1x1,10,3,900,474267,21s-20-30-26.txt,30,20,11,3502,11,3502
RANDOM,LGAP,LS_1x2,10,3,900,2733587,21s-20-30-26.txt,30,20,11,3504,11,3504
RANDOM,LGAP,LS_2x2,10,3,900,3613696,21s-20-30-26.txt,30,20,11,3495,11,3495
RANDOM,LGAP,LS_1x0,10,3,900,2770427,21s-20-30-27.txt,30,20,12,3717,12,3717
RANDOM,LGAP,LS_1x1,10,3,900,558598,21s-20-30-27.txt,30,20,11,3701,11,3701
RANDOM,LGAP,LS_1x2,10,3,900,2952435,21s-20-30-27.txt,30,20,12,3961,12,3804
RANDOM,LGAP,LS_2x2,10,3,900,2322958,21s-20-30-27.txt,30,20,12,3847,12,3847
RANDOM,LGAP,LS_1x0,10,3,900,2462087,21s-20-30-28.txt,30,20,12,3753,12,3753
RANDOM,LGAP,LS_1x1,10,3,900,721320,21s-20-30-28.txt,30,20,12,3732,12,3732
RANDOM,LGAP,LS_1x2,10,3,900,2923318,21s-20-30-28.txt,30,20,12,3852,12,3784
RANDOM,LGAP,LS_2x2,10,3,900,670446,21s-20-30-28.txt,30,20,12,3717,12,3717
RANDOM,LGAP,LS_1x0,10,3,900,1678826,21s-20-30-29.txt,30,20,10,3451,10,3451
RANDOM,LGAP,LS_1x1,10,3,900,438699,21s-20-30-29.txt,30,20,10,3475,10,3475
RANDOM,LGAP,LS_1x2,10,3,900,2267518,21s-20-30-29.txt,30,20,10,3389,10,3389
RANDOM,LGAP,LS_2x2,10,3,900,970340,21s-20-30-29.txt,30,20,11,3668,11,3668
