obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
FCFS,SSHAPE,10,3,900,9783568,21s-20-30-0.txt,30,20,15,5006.0
RANDOM,SSHAPE,10,3,900,2750000,21s-20-30-0.txt,30,20,12,4094.0
SOP,SSHAPE,10,3,900,2450195,21s-20-30-0.txt,30,20,20,5690.0
G01,SSHAPE,10,3,900,2320601,21s-20-30-0.txt,30,20,12,4250.0
G02,SSHAPE,10,3,900,1987426,21s-20-30-0.txt,30,20,14,4790.0
G03,SSHAPE,10,3,900,6076043,21s-20-30-0.txt,30,20,13,4522.0
FCFS,SSHAPE,10,3,900,2019406,21s-20-30-1.txt,30,20,15,4890.0
RANDOM,SSHAPE,10,3,900,1116413,21s-20-30-1.txt,30,20,11,3986.0
SOP,SSHAPE,10,3,900,1010426,21s-20-30-1.txt,30,20,20,5668.0
G01,SSHAPE,10,3,900,638173,21s-20-30-1.txt,30,20,10,3752.0
G02,SSHAPE,10,3,900,691220,21s-20-30-1.txt,30,20,13,4580.0
G03,SSHAPE,10,3,900,2434306,21s-20-30-1.txt,30,20,11,4038.0
FCFS,SSHAPE,10,3,900,1253111,21s-20-30-2.txt,30,20,13,4346.0
RANDOM,SSHAPE,10,3,900,1167451,21s-20-30-2.txt,30,20,11,3874.0
SOP,SSHAPE,10,3,900,1404590,21s-20-30-2.txt,30,20,20,5496.0
G01,SSHAPE,10,3,900,1065111,21s-20-30-2.txt,30,20,10,3618.0
G02,SSHAPE,10,3,900,1213070,21s-20-30-2.txt,30,20,13,4254.0
G03,SSHAPE,10,3,900,2213743,21s-20-30-2.txt,30,20,11,3864.0
FCFS,SSHAPE,10,3,900,1233500,21s-20-30-3.txt,30,20,14,4524.0
RANDOM,SSHAPE,10,3,900,1106511,21s-20-30-3.txt,30,20,13,4518.0
SOP,SSHAPE,10,3,900,1391450,21s-20-30-3.txt,30,20,20,5930.0
G01,SSHAPE,10,3,900,1032663,21s-20-30-3.txt,30,20,12,4478.0
G02,SSHAPE,10,3,900,1186581,21s-20-30-3.txt,30,20,14,4860.0
G03,SSHAPE,10,3,900,1791583,21s-20-30-3.txt,30,20,13,4614.0
FCFS,SSHAPE,10,3,900,772694,21s-20-30-4.txt,30,20,11,3720.0
RANDOM,SSHAPE,10,3,900,712850,21s-20-30-4.txt,30,20,10,3384.0
SOP,SSHAPE,10,3,900,909331,21s-20-30-4.txt,30,20,20,5230.0
G01,SSHAPE,10,3,900,652247,21s-20-30-4.txt,30,20,9,3300.0
G02,SSHAPE,10,3,900,811129,21s-20-30-4.txt,30,20,12,4050.0
G03,SSHAPE,10,3,900,1881615,21s-20-30-4.txt,30,20,10,3476.0
FCFS,SSHAPE,10,3,900,736816,21s-20-30-5.txt,30,20,13,4372.0
RANDOM,SSHAPE,10,3,900,711176,21s-20-30-5.txt,30,20,11,3986.0
SOP,SSHAPE,10,3,900,735261,21s-20-30-5.txt,30,20,20,5430.0
G01,SSHAPE,10,3,900,642763,21s-20-30-5.txt,30,20,11,3824.0
G02,SSHAPE,10,3,900,676582,21s-20-30-5.txt,30,20,13,4354.0
G03,SSHAPE,10,3,900,1715327,21s-20-30-5.txt,30,20,11,3948.0
FCFS,SSHAPE,10,3,900,742367,21s-20-30-6.txt,30,20,14,4752.0
RANDOM,SSHAPE,10,3,900,764602,21s-20-30-6.txt,30,20,14,4842.0
SOP,SSHAPE,10,3,900,809870,21s-20-30-6.txt,30,20,20,6040.0
G01,SSHAPE,10,3,900,754343,21s-20-30-6.txt,30,20,13,4492.0
G02,SSHAPE,10,3,900,802169,21s-20-30-6.txt,30,20,15,5038.0
G03,SSHAPE,10,3,900,1460558,21s-20-30-6.txt,30,20,14,4916.0
FCFS,SSHAPE,10,3,900,642136,21s-20-30-7.txt,30,20,14,4606.0
RANDOM,SSHAPE,10,3,900,632337,21s-20-30-7.txt,30,20,12,4336.0
SOP,SSHAPE,10,3,900,911395,21s-20-30-7.txt,30,20,20,5622.0
G01,SSHAPE,10,3,900,655325,21s-20-30-7.txt,30,20,10,3838.0
G02,SSHAPE,10,3,900,686381,21s-20-30-7.txt,30,20,13,4602.0
G03,SSHAPE,10,3,900,1654963,21s-20-30-7.txt,30,20,11,4080.0
FCFS,SSHAPE,10,3,900,563356,21s-20-30-8.txt,30,20,12,3764.0
RANDOM,SSHAPE,10,3,900,341691,21s-20-30-8.txt,30,20,11,3712.0
SOP,SSHAPE,10,3,900,374887,21s-20-30-8.txt,30,20,20,4906.0
G01,SSHAPE,10,3,900,335193,21s-20-30-8.txt,30,20,10,3470.0
G02,SSHAPE,10,3,900,429982,21s-20-30-8.txt,30,20,12,3808.0
G03,SSHAPE,10,3,900,1052264,21s-20-30-8.txt,30,20,10,3404.0
