obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance,type_experiment
FCFS,LGAP,10,3,900,4707996,1l-20-30-0.txt,30,20,12,3743,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,2379946,1l-20-30-0.txt,30,20,11,3743,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,2475597,1l-20-30-0.txt,30,20,20,4705,WITH_ENCAPSULATION
G01,LGAP,10,3,900,1347021,1l-20-30-0.txt,30,20,10,3574,WITH_ENCAPSULATION
G02,LGAP,10,3,900,1607609,1l-20-30-0.txt,30,20,13,3965,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1722888,1l-20-30-0.txt,30,20,11,3644,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,1436183,1l-20-30-1.txt,30,20,12,3848,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,1362589,1l-20-30-1.txt,30,20,11,3482,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,2003931,1l-20-30-1.txt,30,20,20,4800,WITH_ENCAPSULATION
G01,LGAP,10,3,900,1042188,1l-20-30-1.txt,30,20,11,3570,WITH_ENCAPSULATION
G02,LGAP,10,3,900,1159599,1l-20-30-1.txt,30,20,14,4054,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1354602,1l-20-30-1.txt,30,20,12,3972,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,954710,1l-20-30-2.txt,30,20,13,4034,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,959470,1l-20-30-2.txt,30,20,13,4012,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,1158320,1l-20-30-2.txt,30,20,20,4872,WITH_ENCAPSULATION
G01,LGAP,10,3,900,894782,1l-20-30-2.txt,30,20,12,3828,WITH_ENCAPSULATION
G02,LGAP,10,3,900,994597,1l-20-30-2.txt,30,20,14,4170,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1186951,1l-20-30-2.txt,30,20,12,3730,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,670166,1l-20-30-3.txt,30,20,10,3080,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,619374,1l-20-30-3.txt,30,20,9,3046,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,925331,1l-20-30-3.txt,30,20,20,4309,WITH_ENCAPSULATION
G01,LGAP,10,3,900,722529,1l-20-30-3.txt,30,20,9,2817,WITH_ENCAPSULATION
G02,LGAP,10,3,900,723216,1l-20-30-3.txt,30,20,11,3341,WITH_ENCAPSULATION
G03,LGAP,10,3,900,959977,1l-20-30-3.txt,30,20,9,3042,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,614761,1l-20-30-4.txt,30,20,10,3107,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,571925,1l-20-30-4.txt,30,20,9,3004,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,917857,1l-20-30-4.txt,30,20,20,4482,WITH_ENCAPSULATION
G01,LGAP,10,3,900,596399,1l-20-30-4.txt,30,20,8,2842,WITH_ENCAPSULATION
G02,LGAP,10,3,900,687241,1l-20-30-4.txt,30,20,11,3327,WITH_ENCAPSULATION
G03,LGAP,10,3,900,966892,1l-20-30-4.txt,30,20,9,3043,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,727178,1l-20-30-5.txt,30,20,12,3854,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,676981,1l-20-30-5.txt,30,20,11,3724,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,962354,1l-20-30-5.txt,30,20,20,4764,WITH_ENCAPSULATION
G01,LGAP,10,3,900,687634,1l-20-30-5.txt,30,20,10,3614,WITH_ENCAPSULATION
G02,LGAP,10,3,900,799497,1l-20-30-5.txt,30,20,13,4115,WITH_ENCAPSULATION
