obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
G01,LGAP,LS_1x0,10,3,900,13599937,21s-20-30-0.txt,30,20,12,3867.0,12,3867.0
G01,LGAP,LS_1x1,10,3,900,3119150,21s-20-30-0.txt,30,20,12,3867.0,12,3867.0
G01,LGAP,LS_1x2,10,3,900,11927577,21s-20-30-0.txt,30,20,12,3867.0,12,3867.0
G01,LGAP,LS_2x2,10,3,900,19280719,21s-20-30-0.txt,30,20,12,3867.0,12,3867.0
G02,LGAP,LS_1x0,10,3,900,8044686,21s-20-30-0.txt,30,20,14,4134.0,14,4134.0
G02,LGAP,LS_1x1,10,3,900,2319347,21s-20-30-0.txt,30,20,14,4134.0,14,4080.0
G02,LGAP,LS_1x2,10,3,900,8372281,21s-20-30-0.txt,30,20,14,4134.0,14,4084.0
G02,LGAP,LS_2x2,10,3,900,2732458,21s-20-30-0.txt,30,20,14,4134.0,14,4134.0
G03,LGAP,LS_1x0,10,3,900,6109559,21s-20-30-0.txt,30,20,13,3883.0,13,3883.0
G03,LGAP,LS_1x1,10,3,900,1791186,21s-20-30-0.txt,30,20,13,3883.0,13,3873.0
G03,LGAP,LS_1x2,10,3,900,9555100,21s-20-30-0.txt,30,20,13,3883.0,13,3883.0
G03,LGAP,LS_2x2,10,3,900,4247454,21s-20-30-0.txt,30,20,13,3883.0,13,3883.0
G01,LGAP,LS_1x0,10,3,900,1296010,21s-20-30-1.txt,30,20,10,3652.0,10,3652.0
G01,LGAP,LS_1x1,10,3,900,927213,21s-20-30-1.txt,30,20,10,3652.0,10,3592.0
G01,LGAP,LS_1x2,10,3,900,1211437,21s-20-30-1.txt,30,20,10,3652.0,10,3583.0
G01,LGAP,LS_2x2,10,3,900,18612778,21s-20-30-1.txt,30,20,10,3652.0,10,3652.0
G02,LGAP,LS_1x0,10,3,900,4076649,21s-20-30-1.txt,30,20,13,4196.0,13,4196.0
G02,LGAP,LS_1x1,10,3,900,906708,21s-20-30-1.txt,30,20,13,4196.0,13,4196.0
G02,LGAP,LS_1x2,10,3,900,4054800,21s-20-30-1.txt,30,20,13,4196.0,13,4093.0
G02,LGAP,LS_2x2,10,3,900,1536487,21s-20-30-1.txt,30,20,13,4196.0,13,4196.0
G03,LGAP,LS_1x0,10,3,900,2724206,21s-20-30-1.txt,30,20,11,3838.0,11,3838.0
G03,LGAP,LS_1x1,10,3,900,1578390,21s-20-30-1.txt,30,20,11,3838.0,11,3838.0
G03,LGAP,LS_1x2,10,3,900,4341540,21s-20-30-1.txt,30,20,11,3838.0,11,3838.0
