obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
G01,SSHAPE,LS_1x0,10,3,900,19500858,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G01,SSHAPE,LS_1x1,10,3,900,2056787,21s-20-30-0.txt,30,20,12,4250.0,12,4206.0
G01,SSHAPE,LS_1x2,10,3,900,13760552,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G01,SSHAPE,LS_2x2,10,3,900,16192007,21s-20-30-0.txt,30,20,12,4250.0,12,4250.0
G02,SSHAPE,LS_1x0,10,3,900,7932239,21s-20-30-0.txt,30,20,14,4790.0,14,4790.0
G02,SSHAPE,LS_1x1,10,3,900,2055930,21s-20-30-0.txt,30,20,14,4790.0,14,4734.0
G02,SSHAPE,LS_1x2,10,3,900,7415726,21s-20-30-0.txt,30,20,14,4790.0,14,4746.0
G02,SSHAPE,LS_2x2,10,3,900,1668945,21s-20-30-0.txt,30,20,14,4790.0,14,4790.0
G03,SSHAPE,LS_1x0,10,3,900,7048334,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G03,SSHAPE,LS_1x1,10,3,900,2351322,21s-20-30-0.txt,30,20,13,4522.0,13,4400.0
G03,SSHAPE,LS_1x2,10,3,900,5297922,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G03,SSHAPE,LS_2x2,10,3,900,5905617,21s-20-30-0.txt,30,20,13,4522.0,13,4522.0
G01,SSHAPE,LS_1x0,10,3,900,1376446,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_1x1,10,3,900,793337,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_1x2,10,3,900,1103452,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G01,SSHAPE,LS_2x2,10,3,900,13256097,21s-20-30-1.txt,30,20,10,3752.0,10,3752.0
G02,SSHAPE,LS_1x0,10,3,900,2986099,21s-20-30-1.txt,30,20,13,4580.0,13,4442.0
G02,SSHAPE,LS_1x1,10,3,900,961407,21s-20-30-1.txt,30,20,13,4580.0,13,4580.0
G02,SSHAPE,LS_1x2,10,3,900,3920151,21s-20-30-1.txt,30,20,13,4580.0,13,4410.0
G02,SSHAPE,LS_2x2,10,3,900,772042,21s-20-30-1.txt,30,20,13,4580.0,13,4580.0
G03,SSHAPE,LS_1x0,10,3,900,3007555,21s-20-30-1.txt,30,20,11,4038.0,11,3928.0
G03,SSHAPE,LS_1x1,10,3,900,2622524,21s-20-30-1.txt,30,20,11,4038.0,11,4038.0
G03,SSHAPE,LS_1x2,10,3,900,5090102,21s-20-30-1.txt,30,20,11,4038.0,11,3984.0
G03,SSHAPE,LS_2x2,10,3,900,5701944,21s-20-30-1.txt,30,20,11,4038.0,11,3982.0
G01,SSHAPE,LS_1x0,10,3,900,14920870,21s-20-30-2.txt,30,20,10,3618.0,10,3618.0
G01,SSHAPE,LS_1x1,10,3,900,895587,21s-20-30-2.txt,30,20,10,3618.0,10,3594.0
G01,SSHAPE,LS_1x2,10,3,900,1176604,21s-20-30-2.txt,30,20,10,3618.0,10,3618.0
G01,SSHAPE,LS_2x2,10,3,900,17362283,21s-20-30-2.txt,30,20,10,3618.0,10,3618.0
G02,SSHAPE,LS_1x0,10,3,900,5682598,21s-20-30-2.txt,30,20,13,4254.0,13,4254.0
G02,SSHAPE,LS_1x1,10,3,900,1637021,21s-20-30-2.txt,30,20,13,4254.0,13,4254.0
G02,SSHAPE,LS_1x2,10,3,900,5174218,21s-20-30-2.txt,30,20,13,4254.0,13,4142.0
G02,SSHAPE,LS_2x2,10,3,900,1538325,21s-20-30-2.txt,30,20,13,4254.0,13,4236.0
G03,SSHAPE,LS_1x0,10,3,900,3747068,21s-20-30-2.txt,30,20,11,3864.0,11,3864.0
G03,SSHAPE,LS_1x1,10,3,900,2098601,21s-20-30-2.txt,30,20,11,3864.0,11,3864.0
G03,SSHAPE,LS_1x2,10,3,900,6359045,21s-20-30-2.txt,30,20,11,3864.0,11,3864.0
G03,SSHAPE,LS_2x2,10,3,900,9122586,21s-20-30-2.txt,30,20,11,3864.0,11,3864.0
G01,SSHAPE,LS_1x0,10,3,900,2285012,21s-20-30-3.txt,30,20,12,4478.0,12,4396.0
G01,SSHAPE,LS_1x1,10,3,900,1205862,21s-20-30-3.txt,30,20,12,4478.0,12,4430.0
G01,SSHAPE,LS_1x2,10,3,900,6433013,21s-20-30-3.txt,30,20,12,4478.0,12,4478.0
G01,SSHAPE,LS_2x2,10,3,900,10405122,21s-20-30-3.txt,30,20,12,4478.0,12,4478.0
G02,SSHAPE,LS_1x0,10,3,900,3139514,21s-20-30-3.txt,30,20,14,4860.0,14,4646.0
G02,SSHAPE,LS_1x1,10,3,900,780769,21s-20-30-3.txt,30,20,14,4860.0,14,4860.0
G02,SSHAPE,LS_1x2,10,3,900,4930044,21s-20-30-3.txt,30,20,14,4860.0,14,4622.0
G02,SSHAPE,LS_2x2,10,3,900,1572614,21s-20-30-3.txt,30,20,14,4860.0,14,4860.0
G03,SSHAPE,LS_1x0,10,3,900,2894446,21s-20-30-3.txt,30,20,13,4614.0,13,4428.0
