obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
RANDOM,LGAP,LS_1x0,10,3,900,15998298,21s-20-30-0.txt,30,20,13,4064.0,13,4064.0
RANDOM,LGAP,LS_1x1,10,3,900,3220077,21s-20-30-0.txt,30,20,12,3777.0,12,3777.0
RANDOM,LGAP,LS_1x2,10,3,900,17688856,21s-20-30-0.txt,30,20,12,3824.0,12,3824.0
RANDOM,LGAP,LS_2x2,10,3,900,16277593,21s-20-30-0.txt,30,20,12,3900.0,12,3900.0
RANDOM,LGAP,LS_1x0,10,3,900,2781953,21s-20-30-1.txt,30,20,11,3913.0,11,3913.0
RANDOM,LGAP,LS_1x1,10,3,900,1529187,21s-20-30-1.txt,30,20,11,3844.0,11,3750.0
RANDOM,LGAP,LS_1x2,10,3,900,9844243,21s-20-30-1.txt,30,20,12,4040.0,12,3999.0
RANDOM,LGAP,LS_2x2,10,3,900,4016862,21s-20-30-1.txt,30,20,11,4014.0,11,4014.0
RANDOM,LGAP,LS_1x0,10,3,900,3073608,21s-20-30-2.txt,30,20,11,3639.0,11,3639.0
RANDOM,LGAP,LS_1x1,10,3,900,1214247,21s-20-30-2.txt,30,20,11,3667.0,11,3667.0
RANDOM,LGAP,LS_1x2,10,3,900,8639858,21s-20-30-2.txt,30,20,11,3715.0,11,3615.0
RANDOM,LGAP,LS_2x2,10,3,900,17347913,21s-20-30-2.txt,30,20,11,3633.0,11,3633.0
RANDOM,LGAP,LS_1x0,10,3,900,4040988,21s-20-30-3.txt,30,20,13,4163.0,13,4163.0
RANDOM,LGAP,LS_1x1,10,3,900,999218,21s-20-30-3.txt,30,20,13,4133.0,13,4103.0
RANDOM,LGAP,LS_1x2,10,3,900,7944436,21s-20-30-3.txt,30,20,13,4135.0,13,4135.0
RANDOM,LGAP,LS_2x2,10,3,900,14113368,21s-20-30-3.txt,30,20,12,3960.0,12,3960.0
RANDOM,LGAP,LS_1x0,10,3,900,5941758,21s-20-30-4.txt,30,20,11,3582.0,11,3582.0
RANDOM,LGAP,LS_1x1,10,3,900,840555,21s-20-30-4.txt,30,20,10,3327.0,10,3327.0
RANDOM,LGAP,LS_1x2,10,3,900,3246278,21s-20-30-4.txt,30,20,10,3474.0,10,3418.0
RANDOM,LGAP,LS_2x2,10,3,900,8210861,21s-20-30-4.txt,30,20,10,3356.0,10,3356.0
RANDOM,LGAP,LS_1x0,10,3,900,5871434,21s-20-30-5.txt,30,20,13,4110.0,13,4110.0
