obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
RANDOM,SSHAPE,LS_1x0,10,3,900,18798181,21s-20-30-0.txt,30,20,12,4222.0,12,4222.0
RANDOM,SSHAPE,LS_1x1,10,3,900,3533223,21s-20-30-0.txt,30,20,12,4382.0,12,4382.0
RANDOM,SSHAPE,LS_1x2,10,3,900,15183941,21s-20-30-0.txt,30,20,13,4446.0,13,4446.0
RANDOM,SSHAPE,LS_2x2,10,3,900,9999380,21s-20-30-0.txt,30,20,13,4544.0,13,4544.0
RANDOM,SSHAPE,LS_1x0,10,3,900,3600377,21s-20-30-1.txt,30,20,11,4054.0,11,3990.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1193609,21s-20-30-1.txt,30,20,11,4128.0,11,4128.0
RANDOM,SSHAPE,LS_1x2,10,3,900,6383751,21s-20-30-1.txt,30,20,12,4206.0,12,4152.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3386799,21s-20-30-1.txt,30,20,12,4302.0,12,4302.0
RANDOM,SSHAPE,LS_1x0,10,3,900,3484771,21s-20-30-2.txt,30,20,11,3872.0,11,3872.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1247386,21s-20-30-2.txt,30,20,11,3908.0,11,3908.0
RANDOM,SSHAPE,LS_1x2,10,3,900,8115626,21s-20-30-2.txt,30,20,11,3884.0,11,3884.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4522023,21s-20-30-2.txt,30,20,11,3906.0,11,3906.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2238043,21s-20-30-3.txt,30,20,12,4494.0,12,4494.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1473449,21s-20-30-3.txt,30,20,13,4652.0,13,4508.0
RANDOM,SSHAPE,LS_1x2,10,3,900,5121533,21s-20-30-3.txt,30,20,13,4482.0,13,4482.0
RANDOM,SSHAPE,LS_2x2,10,3,900,6891556,21s-20-30-3.txt,30,20,12,4430.0,12,4430.0
RANDOM,SSHAPE,LS_1x0,10,3,900,3194147,21s-20-30-4.txt,30,20,10,3434.0,10,3434.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1069279,21s-20-30-4.txt,30,20,10,3544.0,10,3496.0
RANDOM,SSHAPE,LS_1x2,10,3,900,4229731,21s-20-30-4.txt,30,20,10,3522.0,10,3522.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3077977,21s-20-30-4.txt,30,20,10,3488.0,10,3488.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2127085,21s-20-30-5.txt,30,20,11,3906.0,11,3906.0
RANDOM,SSHAPE,LS_1x1,10,3,900,631826,21s-20-30-5.txt,30,20,11,3974.0,11,3832.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3311624,21s-20-30-5.txt,30,20,11,4072.0,11,4072.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4661581,21s-20-30-5.txt,30,20,11,3964.0,11,3964.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2485496,21s-20-30-6.txt,30,20,14,4772.0,14,4740.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1643182,21s-20-30-6.txt,30,20,14,4832.0,14,4832.0
RANDOM,SSHAPE,LS_1x2,10,3,900,6914931,21s-20-30-6.txt,30,20,13,4604.0,13,4604.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2952966,21s-20-30-6.txt,30,20,14,4892.0,14,4892.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1220934,21s-20-30-7.txt,30,20,11,4326.0,11,4256.0
RANDOM,SSHAPE,LS_1x1,10,3,900,804177,21s-20-30-7.txt,30,20,11,4190.0,11,4156.0
RANDOM,SSHAPE,LS_1x2,10,3,900,1091383,21s-20-30-7.txt,30,20,11,4180.0,11,4166.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2871567,21s-20-30-7.txt,30,20,12,4450.0,12,4376.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2198510,21s-20-30-8.txt,30,20,11,3556.0,11,3556.0
RANDOM,SSHAPE,LS_1x1,10,3,900,611400,21s-20-30-8.txt,30,20,11,3586.0,11,3586.0
RANDOM,SSHAPE,LS_1x2,10,3,900,1970565,21s-20-30-8.txt,30,20,10,3410.0,10,3410.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2845355,21s-20-30-8.txt,30,20,11,3554.0,11,3554.0
RANDOM,SSHAPE,LS_1x0,10,3,900,513287,21s-20-30-9.txt,30,20,9,3144.0,9,3144.0
RANDOM,SSHAPE,LS_1x1,10,3,900,452865,21s-20-30-9.txt,30,20,9,3186.0,9,3134.0
RANDOM,SSHAPE,LS_1x2,10,3,900,1478670,21s-20-30-9.txt,30,20,9,3238.0,9,3098.0
RANDOM,SSHAPE,LS_2x2,10,3,900,5410195,21s-20-30-9.txt,30,20,9,3288.0,9,3288.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1192435,21s-20-30-10.txt,30,20,10,3700.0,10,3700.0
RANDOM,SSHAPE,LS_1x1,10,3,900,701739,21s-20-30-10.txt,30,20,10,3572.0,10,3450.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3996998,21s-20-30-10.txt,30,20,10,3316.0,10,3316.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4037263,21s-20-30-10.txt,30,20,11,3642.0,11,3584.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2215935,21s-20-30-11.txt,30,20,14,4734.0,14,4734.0
RANDOM,SSHAPE,LS_1x1,10,3,900,813754,21s-20-30-11.txt,30,20,13,4530.0,13,4440.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3185489,21s-20-30-11.txt,30,20,13,4482.0,13,4482.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4414771,21s-20-30-11.txt,30,20,13,4356.0,13,4356.0
RANDOM,SSHAPE,LS_1x0,10,3,900,3068672,21s-20-30-12.txt,30,20,14,4960.0,14,4960.0
RANDOM,SSHAPE,LS_1x1,10,3,900,1598750,21s-20-30-12.txt,30,20,14,5102.0,14,5102.0
RANDOM,SSHAPE,LS_1x2,10,3,900,9380917,21s-20-30-12.txt,30,20,14,4972.0,14,4972.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3556771,21s-20-30-12.txt,30,20,15,5222.0,15,5222.0
RANDOM,SSHAPE,LS_1x0,10,3,900,4454421,21s-20-30-13.txt,30,20,14,4746.0,14,4746.0
RANDOM,SSHAPE,LS_1x1,10,3,900,969430,21s-20-30-13.txt,30,20,14,4694.0,14,4694.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3242328,21s-20-30-13.txt,30,20,13,4368.0,13,4368.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2697218,21s-20-30-13.txt,30,20,13,4582.0,13,4582.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2112621,21s-20-30-14.txt,30,20,12,4184.0,12,4184.0
RANDOM,SSHAPE,LS_1x1,10,3,900,695310,21s-20-30-14.txt,30,20,11,4122.0,11,4122.0
RANDOM,SSHAPE,LS_1x2,10,3,900,2440015,21s-20-30-14.txt,30,20,11,3952.0,11,3872.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3004489,21s-20-30-14.txt,30,20,12,4248.0,12,4248.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1238639,21s-20-30-15.txt,30,20,9,3320.0,9,3320.0
RANDOM,SSHAPE,LS_1x1,10,3,900,687804,21s-20-30-15.txt,30,20,9,3188.0,9,3154.0
RANDOM,SSHAPE,LS_1x2,10,3,900,1953202,21s-20-30-15.txt,30,20,9,3288.0,9,3238.0
RANDOM,SSHAPE,LS_2x2,10,3,900,1270283,21s-20-30-15.txt,30,20,9,3318.0,9,3282.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2708616,21s-20-30-16.txt,30,20,14,4874.0,14,4874.0
RANDOM,SSHAPE,LS_1x1,10,3,900,758385,21s-20-30-16.txt,30,20,13,4616.0,13,4578.0
RANDOM,SSHAPE,LS_1x2,10,3,900,4177509,21s-20-30-16.txt,30,20,13,4648.0,13,4648.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2544592,21s-20-30-16.txt,30,20,13,4618.0,13,4618.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2070393,21s-20-30-17.txt,30,20,13,4428.0,13,4318.0
RANDOM,SSHAPE,LS_1x1,10,3,900,450915,21s-20-30-17.txt,30,20,14,4740.0,14,4740.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3273737,21s-20-30-17.txt,30,20,13,4374.0,13,4374.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3042767,21s-20-30-17.txt,30,20,13,4486.0,13,4486.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1198390,21s-20-30-18.txt,30,20,11,4254.0,11,4254.0
RANDOM,SSHAPE,LS_1x1,10,3,900,774826,21s-20-30-18.txt,30,20,13,4616.0,13,4616.0
RANDOM,SSHAPE,LS_1x2,10,3,900,2359314,21s-20-30-18.txt,30,20,11,4170.0,11,4170.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4528462,21s-20-30-18.txt,30,20,11,4190.0,11,4190.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1551402,21s-20-30-19.txt,30,20,10,3870.0,10,3828.0
RANDOM,SSHAPE,LS_1x1,10,3,900,712692,21s-20-30-19.txt,30,20,10,3730.0,10,3730.0
RANDOM,SSHAPE,LS_1x2,10,3,900,2676570,21s-20-30-19.txt,30,20,11,4006.0,11,4006.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2754847,21s-20-30-19.txt,30,20,11,3984.0,11,3914.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2089589,21s-20-30-20.txt,30,20,15,5234.0,15,5234.0
RANDOM,SSHAPE,LS_1x1,10,3,900,956442,21s-20-30-20.txt,30,20,15,5300.0,15,5300.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3270334,21s-20-30-20.txt,30,20,15,5300.0,15,5202.0
RANDOM,SSHAPE,LS_2x2,10,3,900,1842151,21s-20-30-20.txt,30,20,15,5184.0,15,5184.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1296071,21s-20-30-21.txt,30,20,10,3702.0,10,3702.0
RANDOM,SSHAPE,LS_1x1,10,3,900,597851,21s-20-30-21.txt,30,20,10,3378.0,10,3378.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3242700,21s-20-30-21.txt,30,20,11,3632.0,11,3632.0
RANDOM,SSHAPE,LS_2x2,10,3,900,4814079,21s-20-30-21.txt,30,20,9,3430.0,9,3430.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1097525,21s-20-30-22.txt,30,20,9,3266.0,9,3266.0
RANDOM,SSHAPE,LS_1x1,10,3,900,438160,21s-20-30-22.txt,30,20,9,3370.0,9,3284.0
RANDOM,SSHAPE,LS_1x2,10,3,900,2129755,21s-20-30-22.txt,30,20,9,3408.0,9,3284.0
RANDOM,SSHAPE,LS_2x2,10,3,900,3160478,21s-20-30-22.txt,30,20,9,3260.0,9,3230.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1903985,21s-20-30-23.txt,30,20,12,4162.0,12,4162.0
RANDOM,SSHAPE,LS_1x1,10,3,900,486887,21s-20-30-23.txt,30,20,12,4116.0,12,4070.0
RANDOM,SSHAPE,LS_1x2,10,3,900,2318791,21s-20-30-23.txt,30,20,11,3904.0,11,3904.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2096591,21s-20-30-23.txt,30,20,12,4046.0,12,4046.0
RANDOM,SSHAPE,LS_1x0,10,3,900,1691329,21s-20-30-24.txt,30,20,13,4520.0,13,4520.0
RANDOM,SSHAPE,LS_1x1,10,3,900,578471,21s-20-30-24.txt,30,20,12,4338.0,12,4338.0
RANDOM,SSHAPE,LS_1x2,10,3,900,3175680,21s-20-30-24.txt,30,20,13,4504.0,13,4504.0
RANDOM,SSHAPE,LS_2x2,10,3,900,2315638,21s-20-30-24.txt,30,20,13,4576.0,13,4576.0
RANDOM,SSHAPE,LS_1x0,10,3,900,2476683,21s-20-30-25.txt,30,20,11,3834.0,11,3834.0
RANDOM,SSHAPE,LS_1x1,10,3,900,447197,21s-20-30-25.txt,30,20,10,3500.0,10,3500.0
RANDOM,SSHAPE,LS_1x2,10,3,900,4014624,21s-20-30-25.txt,30,20,11,3814.0,11,3814.0
