obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance,type_experiment
RANDOM,LGAP,LS_1x0,10,3,900,15998298,21s-20-30-0.txt,30,20,13,4064,13,4064,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,3220077,21s-20-30-0.txt,30,20,12,3777,12,3777,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,17688856,21s-20-30-0.txt,30,20,12,3824,12,3824,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,16277593,21s-20-30-0.txt,30,20,12,3900,12,3900,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2781953,21s-20-30-1.txt,30,20,11,3913,11,3913,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1529187,21s-20-30-1.txt,30,20,11,3844,11,3750,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,9844243,21s-20-30-1.txt,30,20,12,4040,12,3999,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4016862,21s-20-30-1.txt,30,20,11,4014,11,4014,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,3073608,21s-20-30-2.txt,30,20,11,3639,11,3639,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1214247,21s-20-30-2.txt,30,20,11,3667,11,3667,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,8639858,21s-20-30-2.txt,30,20,11,3715,11,3615,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,17347913,21s-20-30-2.txt,30,20,11,3633,11,3633,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,4040988,21s-20-30-3.txt,30,20,13,4163,13,4163,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,999218,21s-20-30-3.txt,30,20,13,4133,13,4103,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,7944436,21s-20-30-3.txt,30,20,13,4135,13,4135,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,14113368,21s-20-30-3.txt,30,20,12,3960,12,3960,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,5941758,21s-20-30-4.txt,30,20,11,3582,11,3582,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,840555,21s-20-30-4.txt,30,20,10,3327,10,3327,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3246278,21s-20-30-4.txt,30,20,10,3474,10,3418,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,8210861,21s-20-30-4.txt,30,20,10,3356,10,3356,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,5871434,21s-20-30-5.txt,30,20,13,4110,13,4110,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,586832,21s-20-30-5.txt,30,20,11,3788,11,3788,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2557618,21s-20-30-5.txt,30,20,11,3746,11,3746,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1690651,21s-20-30-5.txt,30,20,12,3872,12,3872,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1416648,21s-20-30-6.txt,30,20,13,4246,13,4246,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,433789,21s-20-30-6.txt,30,20,14,4373,14,4373,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3820718,21s-20-30-6.txt,30,20,14,4337,14,4337,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2025460,21s-20-30-6.txt,30,20,13,4290,13,4290,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1419138,21s-20-30-7.txt,30,20,11,4136,11,4136,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,725266,21s-20-30-7.txt,30,20,12,4251,12,4251,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1016944,21s-20-30-7.txt,30,20,11,4102,11,4102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,3465495,21s-20-30-7.txt,30,20,11,4066,11,4008,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2624655,21s-20-30-8.txt,30,20,11,3354,11,3354,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,629244,21s-20-30-8.txt,30,20,10,3224,10,3224,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2932507,21s-20-30-8.txt,30,20,10,3138,10,3036,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2251238,21s-20-30-8.txt,30,20,11,3298,11,3298,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,871560,21s-20-30-9.txt,30,20,9,2899,9,2899,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,485282,21s-20-30-9.txt,30,20,9,3004,9,3004,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1013695,21s-20-30-9.txt,30,20,9,3013,9,3013,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,6113726,21s-20-30-9.txt,30,20,9,2984,9,2984,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1565142,21s-20-30-10.txt,30,20,10,3185,10,3185,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,459855,21s-20-30-10.txt,30,20,10,3177,10,3145,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1045223,21s-20-30-10.txt,30,20,10,3143,10,3143,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,7864827,21s-20-30-10.txt,30,20,10,3234,10,3234,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,3357602,21s-20-30-11.txt,30,20,13,4143,13,4143,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,926401,21s-20-30-11.txt,30,20,13,4105,13,4105,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2571996,21s-20-30-11.txt,30,20,13,4102,13,4102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4584774,21s-20-30-11.txt,30,20,13,4102,13,4102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2481341,21s-20-30-12.txt,30,20,15,4835,15,4835,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1035008,21s-20-30-12.txt,30,20,14,4677,14,4677,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4668606,21s-20-30-12.txt,30,20,14,4618,14,4618,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4082069,21s-20-30-12.txt,30,20,14,4616,14,4616,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2230274,21s-20-30-13.txt,30,20,13,4376,13,4376,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,930013,21s-20-30-13.txt,30,20,13,4366,13,4350,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4089431,21s-20-30-13.txt,30,20,13,4330,13,4330,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2048645,21s-20-30-13.txt,30,20,13,4424,13,4424,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1275879,21s-20-30-14.txt,30,20,11,3839,11,3839,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,611869,21s-20-30-14.txt,30,20,11,3895,11,3895,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1540267,21s-20-30-14.txt,30,20,11,3807,11,3807,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1512739,21s-20-30-14.txt,30,20,12,4059,12,4059,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1259118,21s-20-30-15.txt,30,20,9,2936,9,2936,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,700133,21s-20-30-15.txt,30,20,9,3042,9,2984,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,999719,21s-20-30-15.txt,30,20,9,2972,9,2893,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2690272,21s-20-30-15.txt,30,20,9,3067,9,2985,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1244279,21s-20-30-16.txt,30,20,12,4085,12,4085,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,495390,21s-20-30-16.txt,30,20,14,4354,14,4354,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3913770,21s-20-30-16.txt,30,20,14,4384,14,4292,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4587118,21s-20-30-16.txt,30,20,12,3978,12,3978,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,4593143,21s-20-30-17.txt,30,20,13,4063,13,4063,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1346537,21s-20-30-17.txt,30,20,13,4045,13,3967,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4435533,21s-20-30-17.txt,30,20,13,4065,13,4065,WITH_ENCAPSULATION
